"","Precinct","First","Second","Third","Ward"
"29011","P-02","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-2"
"29012","P-06","CAM WINTON","MARK V ANDERSON","undervote","W-11"
"29013","P-08","BETSY HODGES","BOB FINE","UWI","W-3"
"29014","P-02","MARK ANDREW","JOSHUA REA","BETSY HODGES","W-9"
"29015","P-10","DAN COHEN","DON SAMUELS","CAM WINTON","W-12"
"29016","P-03","JACKIE CHERRYHOMES","undervote","undervote","W-9"
"29017","P-02D","JACKIE CHERRYHOMES","DON SAMUELS","STEPHANIE WOODRUFF","W-7"
"29018","P-06","JACKIE CHERRYHOMES","BETSY HODGES","DON SAMUELS","W-10"
"29019","P-05","BETSY HODGES","BOB FINE","DON SAMUELS","W-13"
"29020","P-10","DON SAMUELS","JACKIE CHERRYHOMES","BETSY HODGES","W-11"
"29021","P-01","BETSY HODGES","DON SAMUELS","CAM WINTON","W-9"
"29022","P-02","DON SAMUELS","JACKIE CHERRYHOMES","undervote","W-5"
"29023","P-01","BETSY HODGES","DON SAMUELS","STEPHANIE WOODRUFF","W-12"
"29024","P-08","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-12"
"29025","P-08","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-2"
"29026","P-06","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-1"
"29027","P-01","BETSY HODGES","MARK V ANDERSON","BOB FINE","W-9"
"29028","P-05","GREGG A. IVERSON","TROY BENJEGERDES","JAYMIE KELLY","W-12"
"29029","P-06","MARK ANDREW","CAM WINTON","TONY LANE","W-1"
"29030","P-05","ALICIA K. BENNETT","BETSY HODGES","DAN COHEN","W-4"
"29031","P-08","CAM WINTON","MARK ANDREW","OLE SAVIOR","W-2"
"29032","P-03","BOB FINE","MARK ANDREW","CAM WINTON","W-1"
"29033","P-02","MARK ANDREW","undervote","undervote","W-11"
"29034","P-09","BETSY HODGES","MARK ANDREW","undervote","W-7"
"29035","P-05","MARK ANDREW","STEPHANIE WOODRUFF","undervote","W-7"
"29036","P-04D","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-7"
"29037","P-09","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-3"
"29038","P-06","MARK ANDREW","CAM WINTON","BOB FINE","W-11"
"29039","P-04D","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-7"
"29040","P-04","CAM WINTON","MARK ANDREW","undervote","W-13"
"29041","P-01","JAMES EVERETT","STEPHANIE WOODRUFF","STEPHANIE WOODRUFF","W-8"
"29042","P-04","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-4"
"29043","P-05","MARK ANDREW","BOB FINE","BETSY HODGES","W-13"
"29044","P-04","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-3"
"29045","P-04","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-11"
"29046","P-07","MARK ANDREW","BETSY HODGES","BOB FINE","W-9"
"29047","P-03","BETSY HODGES","BOB FINE","MARK ANDREW","W-13"
"29048","P-05","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-7"
"29049","P-05","BETSY HODGES","DON SAMUELS","CAPTAIN JACK SPARROW","W-12"
"29050","P-08","BETSY HODGES","ABDUL M RAHAMAN ""THE ROCK""","DON SAMUELS","W-1"
"29051","P-09","BETSY HODGES","CAPTAIN JACK SPARROW","JOSHUA REA","W-3"
"29052","P-04","DON SAMUELS","DON SAMUELS","JACKIE CHERRYHOMES","W-5"
"29053","P-05","DON SAMUELS","JACKIE CHERRYHOMES","undervote","W-5"
"29054","P-08","DON SAMUELS","CAM WINTON","STEPHANIE WOODRUFF","W-12"
"29055","P-04","JACKIE CHERRYHOMES","undervote","undervote","W-4"
"29056","P-05","CAM WINTON","BETSY HODGES","DON SAMUELS","W-11"
"29057","P-09","BETSY HODGES","DON SAMUELS","STEPHANIE WOODRUFF","W-12"
"29058","P-05","CAM WINTON","OLE SAVIOR","NEAL BAXTER","W-11"
"29059","P-03","JACKIE CHERRYHOMES","MARK ANDREW","undervote","W-4"
"29060","P-09","BETSY HODGES","DAN COHEN","MARK ANDREW","W-13"
"29061","P-05","BETSY HODGES","ALICIA K. BENNETT","STEPHANIE WOODRUFF","W-2"
"29062","P-04","MARK ANDREW","undervote","undervote","W-6"
"29063","P-03","BETSY HODGES","undervote","undervote","W-4"
"29064","P-01","BETSY HODGES","MARK ANDREW","BOB FINE","W-10"
"29065","P-04D","undervote","undervote","undervote","W-7"
"29066","P-03","DON SAMUELS","undervote","undervote","W-5"
"29067","P-03","MARK ANDREW","undervote","undervote","W-6"
"29068","P-06","BOB FINE","BETSY HODGES","undervote","W-12"
"29069","P-01","BETSY HODGES","BOB FINE","DOUG MANN","W-2"
"29070","P-03","BETSY HODGES","JACKIE CHERRYHOMES","CAM WINTON","W-13"
"29071","P-03","MARK ANDREW","STEPHANIE WOODRUFF","undervote","W-13"
"29072","P-10","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-12"
"29073","P-03","MARK ANDREW","undervote","undervote","W-6"
"29074","P-03","MARK ANDREW","CAM WINTON","DON SAMUELS","W-2"
"29075","P-03","MARK ANDREW","undervote","undervote","W-6"
"29076","P-05","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-8"
"29077","P-03","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-13"
"29078","P-06","CAM WINTON","MARK V ANDERSON","DOUG MANN","W-12"
"29079","P-05","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-13"
"29080","P-01","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-1"
"29081","P-05","DON SAMUELS","JACKIE CHERRYHOMES","MARK ANDREW","W-8"
"29082","P-02","DON SAMUELS","BETSY HODGES","DAN COHEN","W-2"
"29083","P-04","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-13"
"29084","P-03","MARK ANDREW","BOB FINE","CAM WINTON","W-7"
"29085","P-02D","BOB FINE","JACKIE CHERRYHOMES","DON SAMUELS","W-7"
"29086","P-02","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-12"
"29087","P-05","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-11"
"29088","P-08","BETSY HODGES","DON SAMUELS","undervote","W-2"
"29089","P-09","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-2"
"29090","P-01","CAPTAIN JACK SPARROW","TROY BENJEGERDES","DAN COHEN","W-11"
"29091","P-03","CAM WINTON","JACKIE CHERRYHOMES","BETSY HODGES","W-12"
"29092","P-03","DOUG MANN","DON SAMUELS","MARK ANDREW","W-9"
"29093","P-04","BETSY HODGES","JACKIE CHERRYHOMES","STEPHANIE WOODRUFF","W-10"
"29094","P-08","MARK ANDREW","undervote","undervote","W-7"
"29095","P-03","MARK ANDREW","undervote","undervote","W-7"
"29096","P-09","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-7"
"29097","P-04","DAN COHEN","undervote","undervote","W-9"
"29098","P-09","MARK ANDREW","CAM WINTON","BETSY HODGES","W-1"
"29099","P-05","CAM WINTON","BETSY HODGES","MARK ANDREW","W-12"
"29100","P-02","MARK ANDREW","DAN COHEN","JACKIE CHERRYHOMES","W-12"
"29101","P-05","CAM WINTON","BETSY HODGES","MARK ANDREW","W-3"
"29102","P-03","OLE SAVIOR","undervote","undervote","W-1"
"29103","P-02","CAM WINTON","DON SAMUELS","CAPTAIN JACK SPARROW","W-9"
"29104","P-08","CAM WINTON","CHRISTOPHER ROBIN ZIMMERMAN","CHRISTOPHER CLARK","W-3"
"29105","P-06","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-8"
"29106","P-09","MARK ANDREW","DON SAMUELS","undervote","W-6"
"29107","P-06","MARK ANDREW","DAN COHEN","CAPTAIN JACK SPARROW","W-12"
"29108","P-08","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-10"
"29109","P-08","DON SAMUELS","BETSY HODGES","JACKIE CHERRYHOMES","W-8"
"29110","P-09","CAM WINTON","DON SAMUELS","BOB FINE","W-13"
"29111","P-02","JAYMIE KELLY","DOUG MANN","BETSY HODGES","W-9"
"29112","P-04","DON SAMUELS","BETSY HODGES","undervote","W-1"
"29113","P-06","CAM WINTON","JOHN LESLIE HARTWIG","NEAL BAXTER","W-11"
"29114","P-02","CAM WINTON","DAN COHEN","BETSY HODGES","W-13"
"29115","P-07","BETSY HODGES","DON SAMUELS","DOUG MANN","W-9"
"29116","P-07","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-3"
"29117","P-01","CAM WINTON","RAHN V. WORKCUFF","JOHN LESLIE HARTWIG","W-13"
"29118","P-03","JACKIE CHERRYHOMES","ALICIA K. BENNETT","BETSY HODGES","W-7"
"29119","P-02","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-2"
"29120","P-09","JACKIE CHERRYHOMES","MARK ANDREW","CHRISTOPHER CLARK","W-3"
"29121","P-02","BETSY HODGES","STEPHANIE WOODRUFF","JACKIE CHERRYHOMES","W-2"
"29122","P-08","JACKIE CHERRYHOMES","BETSY HODGES","DON SAMUELS","W-5"
"29123","P-06","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-8"
"29124","P-09","MARK ANDREW","MIKE GOULD","BETSY HODGES","W-7"
"29125","P-06","DON SAMUELS","MARK ANDREW","BETSY HODGES","W-1"
"29126","P-01","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-12"
"29127","P-08","BETSY HODGES","MARK ANDREW","STEPHANIE WOODRUFF","W-3"
"29128","P-03","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-1"
"29129","P-05","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-12"
"29130","P-08","MIKE GOULD","ALICIA K. BENNETT","BILL KAHN","W-6"
"29131","P-05","MARK ANDREW","JACKIE CHERRYHOMES","DAN COHEN","W-1"
"29132","P-08","BETSY HODGES","MARK ANDREW","BOB FINE","W-12"
"29133","P-03","ABDUL M RAHAMAN ""THE ROCK""","MARK ANDREW","BOB FINE","W-11"
"29134","P-03","DON SAMUELS","JACKIE CHERRYHOMES","MARK ANDREW","W-12"
"29135","P-04","DAN COHEN","BETSY HODGES","EDMUND BERNARD BRUYERE","W-3"
"29136","P-03","MARK ANDREW","undervote","undervote","W-9"
"29137","P-01","BETSY HODGES","MARK ANDREW","undervote","W-12"
"29138","P-04","MARK ANDREW","BETSY HODGES","BOB FINE","W-4"
"29139","P-03","MARK ANDREW","undervote","undervote","W-6"
"29140","P-10","MARK ANDREW","undervote","undervote","W-12"
"29141","P-05","MARK ANDREW","undervote","undervote","W-12"
"29142","P-03","JACKIE CHERRYHOMES","BOB FINE","undervote","W-1"
"29143","P-08","BETSY HODGES","MARK ANDREW","BOB FINE","W-8"
"29144","P-04D","DON SAMUELS","BETSY HODGES","undervote","W-7"
"29145","P-08","BETSY HODGES","STEPHANIE WOODRUFF","undervote","W-3"
"29146","P-01","DON SAMUELS","MARK ANDREW","BETSY HODGES","W-1"
"29147","P-06","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-10"
"29148","P-08","BETSY HODGES","TROY BENJEGERDES","MIKE GOULD","W-6"
"29149","P-06","JACKIE CHERRYHOMES","DON SAMUELS","BETSY HODGES","W-11"
"29150","P-02","JACKIE CHERRYHOMES","STEPHANIE WOODRUFF","BETSY HODGES","W-10"
"29151","P-09","BETSY HODGES","MARK ANDREW","CAM WINTON","W-10"
"29152","P-01","JAYMIE KELLY","undervote","undervote","W-9"
"29153","P-03","DON SAMUELS","RAHN V. WORKCUFF","undervote","W-5"
"29154","P-02","BETSY HODGES","STEPHANIE WOODRUFF","MARK ANDREW","W-1"
"29155","P-01","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-11"
"29156","P-06","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-8"
"29157","P-06","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-11"
"29158","P-06","OLE SAVIOR","NEAL BAXTER","DOUG MANN","W-1"
"29159","P-05","CAM WINTON","BETSY HODGES","MARK ANDREW","W-12"
"29160","P-01C","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-7"
"29161","P-04","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-13"
"29162","P-06","CHRISTOPHER CLARK","KURTIS W. HANNA","CAPTAIN JACK SPARROW","W-10"
"29163","P-02","BETSY HODGES","DAN COHEN","DON SAMUELS","W-12"
"29164","P-09","BETSY HODGES","DON SAMUELS","MARK V ANDERSON","W-6"
"29165","P-07","DON SAMUELS","BETSY HODGES","JAYMIE KELLY","W-10"
"29166","P-03","MARK ANDREW","STEPHANIE WOODRUFF","BETSY HODGES","W-7"
"29167","P-01","BETSY HODGES","DON SAMUELS","BOB FINE","W-12"
"29168","P-01","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-11"
"29169","P-07","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-11"
"29170","P-04","DON SAMUELS","CAM WINTON","undervote","W-12"
"29171","P-07","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-13"
"29172","P-08","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-7"
"29173","P-04","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-10"
"29174","P-05","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-5"
"29175","P-08","DON SAMUELS","GREGG A. IVERSON","JEFFREY ALAN WAGNER","W-5"
"29176","P-03","MARK ANDREW","undervote","undervote","W-6"
"29177","P-07","MARK ANDREW","undervote","undervote","W-6"
"29178","P-03","MARK ANDREW","DON SAMUELS","BOB FINE","W-12"
"29179","P-02","DON SAMUELS","MARK ANDREW","undervote","W-2"
"29180","P-10","MARK V ANDERSON","undervote","undervote","W-11"
"29181","P-08","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-13"
"29182","P-02D","BETSY HODGES","STEPHANIE WOODRUFF","JACKIE CHERRYHOMES","W-7"
"29183","P-08","undervote","undervote","undervote","W-10"
"29184","P-08","MARK ANDREW","BOB FINE","BETSY HODGES","W-1"
"29185","P-05","CAM WINTON","BETSY HODGES","undervote","W-12"
"29186","P-08","BETSY HODGES","DON SAMUELS","STEPHANIE WOODRUFF","W-4"
"29187","P-04","JACKIE CHERRYHOMES","DON SAMUELS","BETSY HODGES","W-5"
"29188","P-01","undervote","undervote","undervote","W-10"
"29189","P-06","MARK ANDREW","DON SAMUELS","GREGG A. IVERSON","W-12"
"29190","P-03A","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-10"
"29191","P-06","DAN COHEN","MARK ANDREW","BETSY HODGES","W-8"
"29192","P-03","JACKIE CHERRYHOMES","ALICIA K. BENNETT","BOB FINE","W-11"
"29193","P-08","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-11"
"29194","P-10","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-11"
"29195","P-01","BETSY HODGES","undervote","undervote","W-2"
"29196","P-02","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-13"
"29197","P-04","JACKIE CHERRYHOMES","DON SAMUELS","BETSY HODGES","W-12"
"29198","P-01","BETSY HODGES","STEPHANIE WOODRUFF","DON SAMUELS","W-10"
"29199","P-01","BETSY HODGES","CAM WINTON","JACKIE CHERRYHOMES","W-12"
"29200","P-08","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-2"
"29201","P-07","MARK ANDREW","undervote","undervote","W-11"
"29202","P-10","DON SAMUELS","MARK ANDREW","JACKIE CHERRYHOMES","W-12"
"29203","P-06","BETSY HODGES","BOB FINE","CAPTAIN JACK SPARROW","W-10"
"29204","P-04","BETSY HODGES","MARK ANDREW","BOB FINE","W-4"
"29205","P-06","DON SAMUELS","DAN COHEN","BETSY HODGES","W-13"
"29206","P-05","DON SAMUELS","JACKIE CHERRYHOMES","ABDUL M RAHAMAN ""THE ROCK""","W-4"
"29207","P-03","BETSY HODGES","MARK ANDREW","STEPHANIE WOODRUFF","W-6"
"29208","P-04","MARK ANDREW","undervote","undervote","W-5"
"29209","P-03","BETSY HODGES","undervote","undervote","W-11"
"29210","P-05","DAN COHEN","CAM WINTON","DON SAMUELS","W-13"
"29211","P-04","MARK ANDREW","BETSY HODGES","undervote","W-11"
"29212","P-01C","BETSY HODGES","JACKIE CHERRYHOMES","CAM WINTON","W-7"
"29213","P-06","BETSY HODGES","DON SAMUELS","BOB FINE","W-8"
"29214","P-08","DON SAMUELS","JACKIE CHERRYHOMES","BETSY HODGES","W-7"
"29215","P-05","MARK ANDREW","undervote","undervote","W-6"
"29216","P-03","MARK ANDREW","undervote","undervote","W-6"
"29217","P-03","CAM WINTON","undervote","undervote","W-11"
"29218","P-05","CAM WINTON","STEPHANIE WOODRUFF","JOHN LESLIE HARTWIG","W-13"
"29219","P-08","DOUG MANN","RAHN V. WORKCUFF","CHRISTOPHER CLARK","W-3"
"29220","P-08","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-11"
"29221","P-05","JACKIE CHERRYHOMES","BETSY HODGES","DON SAMUELS","W-8"
"29222","P-02","BETSY HODGES","MARK ANDREW","CAM WINTON","W-9"
"29223","P-02","DON SAMUELS","BETSY HODGES","JACKIE CHERRYHOMES","W-5"
"29224","P-03","MARK ANDREW","undervote","undervote","W-6"
"29225","P-09","MARK ANDREW","undervote","undervote","W-1"
"29226","P-02","MARK ANDREW","undervote","undervote","W-12"
"29227","P-08","JACKIE CHERRYHOMES","BETSY HODGES","undervote","W-13"
"29228","P-07","MARK ANDREW","BETSY HODGES","RAHN V. WORKCUFF","W-13"
"29229","P-05","BETSY HODGES","undervote","undervote","W-12"
"29230","P-08","CAM WINTON","BETSY HODGES","undervote","W-13"
"29231","P-07","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-10"
"29232","P-04D","BETSY HODGES","DON SAMUELS","CAM WINTON","W-7"
"29233","P-08","DON SAMUELS","BETSY HODGES","JACKIE CHERRYHOMES","W-13"
"29234","P-05","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-11"
"29235","P-01","TONY LANE","KURTIS W. HANNA","DON SAMUELS","W-10"
"29236","P-01C","DAN COHEN","undervote","undervote","W-7"
"29237","P-09","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-7"
"29238","P-02","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-4"
"29239","P-05","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-7"
"29240","P-07","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-8"
"29241","P-03","MARK ANDREW","MARK ANDREW","MARK ANDREW","W-3"
"29242","P-03","DON SAMUELS","BETSY HODGES","ALICIA K. BENNETT","W-8"
"29243","P-07","BOB FINE","undervote","undervote","W-8"
"29244","P-09","MARK ANDREW","DON SAMUELS","JACKIE CHERRYHOMES","W-1"
"29245","P-04","MARK ANDREW","undervote","undervote","W-3"
"29246","P-06","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-9"
"29247","P-04","MARK ANDREW","JACKIE CHERRYHOMES","undervote","W-5"
"29248","P-09","BETSY HODGES","BETSY HODGES","BETSY HODGES","W-12"
"29249","P-10","CAM WINTON","DON SAMUELS","NEAL BAXTER","W-11"
"29250","P-06","DON SAMUELS","BETSY HODGES","undervote","W-12"
"29251","P-08","BETSY HODGES","JAYMIE KELLY","DOUG MANN","W-8"
"29252","P-01","MARK ANDREW","JOHN LESLIE HARTWIG","NEAL BAXTER","W-2"
"29253","P-05A","DON SAMUELS","MARK ANDREW","BETSY HODGES","W-10"
"29254","P-03","MARK ANDREW","JACKIE CHERRYHOMES","DAN COHEN","W-3"
"29255","P-03","DON SAMUELS","BOB FINE","undervote","W-7"
"29256","P-07","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-8"
"29257","P-04","GREGG A. IVERSON","undervote","undervote","W-9"
"29258","P-02","undervote","undervote","undervote","W-11"
"29259","P-06","MARK ANDREW","undervote","undervote","W-6"
"29260","P-06","MARK ANDREW","BETSY HODGES","CAM WINTON","W-11"
"29261","P-05","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-8"
"29262","P-09","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-3"
"29263","P-06","MARK V ANDERSON","BOB FINE","CAPTAIN JACK SPARROW","W-13"
"29264","P-06","ABDUL M RAHAMAN ""THE ROCK""","undervote","undervote","W-3"
"29265","P-03","JAMES ""JIMMY"" L. STROUD, JR.","MERRILL ANDERSON","undervote","W-8"
"29266","P-03","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-13"
"29267","P-07","MARK ANDREW","DON SAMUELS","JACKIE CHERRYHOMES","W-11"
"29268","P-02","CAM WINTON","BOB FINE","CHRISTOPHER CLARK","W-4"
"29269","P-01","BETSY HODGES","undervote","undervote","W-10"
"29270","P-04","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-10"
"29271","P-07","DON SAMUELS","MARK ANDREW","DAN COHEN","W-11"
"29272","P-05","MARK ANDREW","BETSY HODGES","undervote","W-2"
"29273","P-01","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-10"
"29274","P-05","DON SAMUELS","BOB FINE","JACKIE CHERRYHOMES","W-7"
"29275","P-06","MARK ANDREW","JACKIE CHERRYHOMES","BOB FINE","W-13"
"29276","P-01","JACKIE CHERRYHOMES","MARK ANDREW","undervote","W-5"
"29277","P-01","BETSY HODGES","MARK ANDREW","DOUG MANN","W-10"
"29278","P-07","BETSY HODGES","DON SAMUELS","BOB FINE","W-3"
"29279","P-01","MARK V ANDERSON","DAN COHEN","BOB FINE","W-13"
"29280","P-01","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-11"
"29281","P-01","MARK V ANDERSON","undervote","undervote","W-10"
"29282","P-04","STEPHANIE WOODRUFF","DON SAMUELS","BETSY HODGES","W-3"
"29283","P-08","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-4"
"29284","P-06","JACKIE CHERRYHOMES","CAM WINTON","BETSY HODGES","W-1"
"29285","P-01","DON SAMUELS","MIKE GOULD","ALICIA K. BENNETT","W-13"
"29286","P-01","CAM WINTON","MARK ANDREW","BETSY HODGES","W-12"
"29287","P-06","BETSY HODGES","TROY BENJEGERDES","CHRISTOPHER ROBIN ZIMMERMAN","W-2"
"29288","P-01","ALICIA K. BENNETT","CYD GORMAN","CAPTAIN JACK SPARROW","W-2"
"29289","P-03","MARK ANDREW","undervote","undervote","W-6"
"29290","P-05","MARK ANDREW","undervote","undervote","W-13"
"29291","P-06","BETSY HODGES","MARK ANDREW","GREGG A. IVERSON","W-9"
"29292","P-02","BETSY HODGES","DON SAMUELS","DOUG MANN","W-9"
"29293","P-04","JAYMIE KELLY","BOB FINE","JACKIE CHERRYHOMES","W-12"
"29294","P-04","MARK ANDREW","BETSY HODGES","undervote","W-1"
"29295","P-07","MARK ANDREW","BETSY HODGES","undervote","W-10"
"29296","P-03","BETSY HODGES","MARK ANDREW","CAM WINTON","W-12"
"29297","P-03","BETSY HODGES","DON SAMUELS","DAN COHEN","W-7"
"29298","P-06","BETSY HODGES","MARK ANDREW","undervote","W-11"
"29299","P-06","BETSY HODGES","DON SAMUELS","JAYMIE KELLY","W-13"
"29300","P-01","MARK ANDREW","BETSY HODGES","undervote","W-10"
"29301","P-04","BOB FINE","MARK ANDREW","undervote","W-4"
"29302","P-02","MARK ANDREW","BETSY HODGES","undervote","W-1"
"29303","P-08","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-7"
"29304","P-05","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-13"
"29305","P-10","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-2"
"29306","P-08","DON SAMUELS","undervote","undervote","W-4"
"29307","P-09","MARK ANDREW","MARK ANDREW","MARK ANDREW","W-13"
"29308","P-02","BETSY HODGES","MARK ANDREW","UWI","W-10"
"29309","P-04","BETSY HODGES","undervote","undervote","W-3"
"29310","P-04","JACKIE CHERRYHOMES","JEFFREY ALAN WAGNER","MARK ANDREW","W-11"
"29311","P-08","MARK ANDREW","undervote","undervote","W-11"
"29312","P-06","DON SAMUELS","BETSY HODGES","JACKIE CHERRYHOMES","W-10"
"29313","P-08","BETSY HODGES","undervote","undervote","W-3"
"29314","P-05","BETSY HODGES","undervote","undervote","W-12"
"29315","P-09","BETSY HODGES","CAM WINTON","DON SAMUELS","W-13"
"29316","P-05A","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-10"
"29317","P-04","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-6"
"29318","P-02","DON SAMUELS","BETSY HODGES","JACKIE CHERRYHOMES","W-9"
"29319","P-01","DOUG MANN","STEPHANIE WOODRUFF","TROY BENJEGERDES","W-1"
"29320","P-04","JACKIE CHERRYHOMES","DON SAMUELS","JAMES ""JIMMY"" L. STROUD, JR.","W-4"
"29321","P-04","MARK ANDREW","STEPHANIE WOODRUFF","DON SAMUELS","W-8"
"29322","P-09","MARK ANDREW","undervote","undervote","W-6"
"29323","P-07","DON SAMUELS","BETSY HODGES","JACKIE CHERRYHOMES","W-10"
"29324","P-06","DON SAMUELS","JACKIE CHERRYHOMES","BETSY HODGES","W-10"
"29325","P-03","BETSY HODGES","CAM WINTON","undervote","W-13"
"29326","P-04","DON SAMUELS","DAN COHEN","BILL KAHN","W-3"
"29327","P-05","MARK ANDREW","undervote","undervote","W-13"
"29328","P-02","JACKIE CHERRYHOMES","BETSY HODGES","ALICIA K. BENNETT","W-8"
"29329","P-05","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-11"
"29330","P-02","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-9"
"29331","P-04","BETSY HODGES","JACKIE CHERRYHOMES","undervote","W-8"
"29332","P-05","BETSY HODGES","undervote","undervote","W-8"
"29333","P-01","CAM WINTON","CHRISTOPHER ROBIN ZIMMERMAN","OLE SAVIOR","W-3"
"29334","P-02","DON SAMUELS","BETSY HODGES","STEPHANIE WOODRUFF","W-1"
"29335","P-06","BETSY HODGES","MARK ANDREW","undervote","W-12"
"29336","P-06","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-12"
"29337","P-07","BETSY HODGES","undervote","undervote","W-8"
"29338","P-06","MARK ANDREW","BOB FINE","BETSY HODGES","W-12"
"29339","P-01","BETSY HODGES","undervote","undervote","W-8"
"29340","P-07","BETSY HODGES","STEPHANIE WOODRUFF","DON SAMUELS","W-8"
"29341","P-09","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-10"
"29342","P-04","CAM WINTON","OLE SAVIOR","CHRISTOPHER CLARK","W-11"
"29343","P-05","MARK ANDREW","undervote","undervote","W-3"
"29344","P-02","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-12"
"29345","P-01","BETSY HODGES","BOB FINE","CAM WINTON","W-10"
"29346","P-03","MARK ANDREW","DON SAMUELS","CAPTAIN JACK SPARROW","W-4"
"29347","P-07","BETSY HODGES","JACKIE CHERRYHOMES","MARK V ANDERSON","W-10"
"29348","P-01","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-12"
"29349","P-05","CHRISTOPHER ROBIN ZIMMERMAN","CHRISTOPHER CLARK","DOUG MANN","W-2"
"29350","P-05","MARK ANDREW","MARK V ANDERSON","MIKE GOULD","W-5"
"29351","P-02","BETSY HODGES","DOUG MANN","TROY BENJEGERDES","W-9"
"29352","P-04","BETSY HODGES","STEPHANIE WOODRUFF","MARK V ANDERSON","W-1"
"29353","P-03","DON SAMUELS","MARK ANDREW","JACKIE CHERRYHOMES","W-4"
"29354","P-02D","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-7"
